,precursor_mz,precursor_rt,rank_deepdia,rank_msdial
0,294.939009952123,40.276,1,1
1,430.915034088948,40.276,1,1
2,498.899009034409,40.276,1,1
3,544.9147000381221,37.841,1,1
4,192.12283315468602,48.62,1,5
5,104.05187500184601,69.759,1,40
6,361.063548643514,65.046,1,1
7,130.085621327901,68.569,19,19
8,153.040752321631,89.552,34,7
9,104.10657209563801,46.286,4,7
10,204.123200549864,68.569,2,2
11,130.04970017688402,70.917,23,23
12,313.160603014461,95.426,2,17
13,363.147533146531,94.277,2,2
14,312.096187178648,132.421,130,129
15,165.053997953449,123.067,2,5
16,153.06508853947,135.967,37,31
17,162.112375098512,47.46,20,1
18,169.035470356417,72.07600000000002,2,16
19,169.03558865799,63.871,2,16
20,218.126289035315,130.08,1,1
21,165.059393222464,123.067,2,5
22,182.076849516385,123.067,35,35
23,182.081720607054,94.277,16,16
24,229.154560113598,69.759,9,17
25,280.091541491321,43.855,8,10
26,280.146303970909,81.325,1,5
27,137.045650594591,76.705,3,27
28,132.101384238069,111.581,27,27
29,132.100089267871,94.277,29,29
30,265.158757255657,193.896,7,4
31,418.184848430546,148.38299999999995,8,11
32,125.01683778654899,230.647,1,4
33,328.139945095891,212.765,3,3
34,168.091791413868,194.393,1,10
35,120.043829695817,204.679,1,1
36,342.151329462255,217.477,2,1
37,181.07198999804905,262.583,89,17
38,185.12197090742802,277.375,1,2
39,185.13403921764998,277.375,1,2
40,401.0669377258049,209.281,1,3
41,515.200497950954,262.583,1,1
42,209.091777528568,163.582,35,48
43,334.152511939921,285.099,6,1
44,132.080836494784,292.206,2,1
45,971.330441917057,309.54,1,1
46,344.058085641243,309.54,6,45
47,944.341321198538,308.393,1,1
48,417.071353806751,309.54,1,1
49,228.073101857215,321.393,2,1
50,247.146638998843,351.831,30,33
51,295.125510474547,354.728,3,2
52,261.145341370763,316.699,6,5
53,413.05763592183405,381.9980000000001,1,1
54,328.08053117672404,359.49,1,14
55,328.078723130999,315.54,1,14
56,188.070682659923,350.657,13,24
57,383.068136355905,364.622,1,1
58,529.225900792586,397.029,2,3
59,456.090035666597,393.546,1,1
60,461.191656250377,400.494,1,1
61,397.05515034972,438.698,3,2
62,212.109275651105,433.854,4,5
63,162.05209175179,464.222,1,1
64,198.094599815222,413.401,1,2
65,105.033459310059,381.9980000000001,2,1
66,265.11939713156,397.029,1,1
67,749.3731804402879,483.86,1,1
68,260.19813248249903,486.249,1,1
69,211.13857609941897,474.128,2,2
70,310.172077361717,397.029,10,2
71,212.129755902771,433.854,4,12
72,432.259619942177,464.504,1,1
73,312.07852044112303,487.421,126,2
74,480.21643278532014,495.527,2,2
75,625.301148079214,496.673,1,1
76,362.11050739370893,501.242,11,13
77,377.0918652941391,511.7480000000001,3,10
78,476.29777786556394,490.882,2,3
79,196.03344762300202,532.321,10,15
80,360.0223771093631,533.477,1,1
81,894.4247224100301,538.129,1,1
82,206.08134323665695,538.129,4,22
83,324.98984437754297,520.229,1,1
84,554.146854149177,546.2280000000002,1,1
85,314.154622921545,496.673,1,4
86,266.058020149754,541.592,2,1
87,530.225175392123,553.242,1,1
88,342.248965148652,540.439,3,2
89,140.107708114144,547.388,2,11
90,274.130103581481,553.242,5,11
91,198.056354831165,554.393,2,9
92,278.059336911997,561.31,1,1
93,360.10627111108596,489.734,1,4
94,378.113698580102,588.845,3,3
95,601.231178111154,578.08,1,3
96,392.093536977879,550.888,1,1
97,330.128155257685,578.08,1,1
98,363.11941220279,598.2869999999998,1,1
99,346.116036048538,554.393,2,2
100,475.20951279588303,620.4259999999998,9,7
101,444.306868852755,612.1569999999998,1,1
102,319.114208719114,562.481,17,17
103,642.354516603071,611.001,1,1
104,518.335812406945,598.2869999999998,1,1
105,593.322786459064,619.258,1,1
106,378.12974909534597,625.1469999999998,2,1
107,723.22960832347,630.95,1,1
108,532.3675657752291,629.797,1,1
109,190.08602714422298,658.0110000000002,2,2
110,190.087355257301,658.0110000000002,2,2
111,288.208464076048,627.503,4,6
112,301.12859525513,582.795,4,10
113,333.14611328065496,614.502,7,18
114,319.141950333606,582.795,7,2
115,464.202133852744,641.3530000000002,2,7
116,465.235525349572,641.3530000000002,4,3
117,363.220295507155,665.3560000000001,15,8
118,376.098204534963,672.576,1,1
119,362.11483353905,630.95,4,2
120,715.601637171191,671.3810000000002,1,2
121,560.383277003823,693.878,1,1
122,648.443010755085,701.112,1,1
123,604.4089916446441,695.2869999999998,1,1
124,664.065883097994,670.188,1,1
125,664.162776073852,670.188,1,1
126,317.2374522266701,699.939,9,43
127,737.623745397387,670.188,1,1
128,181.085526908311,733.285,1,144
129,466.307837909307,736.788,6,2
130,948.223403126644,670.188,1,1
131,223.095999414236,733.285,5,2
132,626.3506587201159,739.1339999999999,1,1
133,288.29028670320304,756.927,1,1
134,288.290168169695,746.291,1,1
135,344.276732365476,760.429,2,2
136,440.279663153719,791.087,6,2
137,512.316702883665,760.429,4,2
138,601.2640294677079,771.076,1,1
139,387.182412680531,807.6460000000002,1,9
140,404.209205791423,807.6460000000002,1,1
141,209.116895463575,819.398,3,1
142,251.12839299424598,819.398,7,7
143,269.12930315932704,819.398,12,27
144,595.342542995204,809.965,2,3
145,194.123561752034,837.128,30,11
146,414.29073222017405,805.3389999999998,2,1
147,286.145233121041,840.688,1,5
148,286.144990544501,834.7539999999998,1,8
149,286.145198197363,827.68,1,5
150,304.29377591979,813.465,3,3
151,512.260928868301,837.128,1,1
152,300.284243963852,804.186,3,3
153,882.5342119331219,850.217,1,3
154,596.327511586441,825.301,1,1
155,494.254239017865,851.38,3,3
156,400.326038806882,845.461,1,1
157,480.2047188565149,863.079,2,2
158,564.315853909913,860.7339999999998,1,1
159,329.00640724025004,832.39,1,1
160,343.262679368105,822.938,2,2
161,284.332369200641,832.39,1,1
162,468.29637370102006,849.0269999999998,8,4
163,433.269509378928,851.38,1,1
164,485.265693906836,851.38,2,1
165,227.128687141255,868.9689999999998,4,8
166,244.153886552152,868.9689999999998,2,3
167,375.29069036253196,881.846,1,1
168,432.240896447072,871.306,1,1
169,585.2905496219171,719.002,2,4
170,585.290260023924,692.7239999999998,2,4
171,987.6453732798379,867.801,1,1
172,380.249673648267,845.461,2,2
173,428.36428314706495,879.5010000000002,1,2
174,516.31628556376,867.801,1,1
175,584.355509420712,799.423,1,1
176,482.3166421240071,877.16,1,2
177,509.33538433129013,866.6210000000002,1,2
178,450.310999621394,817.0160000000002,1,1
179,357.281068697004,871.306,2,5
180,415.200950213237,851.38,1,4
181,415.21561346605597,871.306,1,1
182,415.21345059570297,878.334,3,1
183,415.20273379266,820.592,2,1
184,480.352261017244,897.077,1,7
185,494.29180733764196,850.217,6,10
186,494.2960530830581,857.222,8,13
187,558.406340313859,853.711,1,1
188,568.377451345816,887.71,1,2
189,568.3446075462371,879.5010000000002,1,1
190,456.328173191575,824.117,1,1
191,454.29691172371696,904.135,1,1
192,991.6495503541432,906.462,1,1
193,991.645999600941,895.908,1,1
194,508.333772881987,894.738,1,1
195,542.313680451829,860.7339999999998,4,2
196,502.295012055001,886.546,5,1
197,431.31383845591796,920.53,1,8
198,909.6389106711548,912.293,1,3
199,303.23277719951597,934.627,5,11
200,518.338231332582,895.908,1,1
201,518.336123212996,864.2610000000002,1,2
202,544.3293831607319,912.293,1,2
203,544.335028335783,922.879,1,2
204,544.3431646579901,859.572,1,2
205,390.32082313888196,942.88,1,1
206,510.343981670615,936.986,1,2
207,510.3568527682071,926.385,10,10
208,149.02286919713302,952.319,2,2
209,521.371447513671,887.71,1,2
210,521.379256456509,877.16,1,1
211,548.349382191817,939.341,2,2
212,520.3252124266,886.546,1,1
213,480.328308220573,925.208,1,9
214,458.34920873598395,972.322,1,1
215,458.35721249228203,972.322,1,1
216,547.374694250297,969.976,1,1
217,617.4384482887709,966.484,1,1
218,550.390396668623,979.382,1,1
219,540.48734812306,985.255,1,1
220,616.454092089124,881.846,1,1
221,590.4215079877861,968.812,1,2
222,546.35174769209,908.774,1,1
223,432.3635555939901,1012.19,1,1
224,271.31952295647096,849.0269999999998,1,1
225,331.284650291782,1019.19,4,2
226,548.305789295801,1022.68,3,1
227,630.482339924493,916.994,1,1
228,660.460816058256,878.334,1,1
229,704.5012801191458,873.643,1,1
230,305.249288655677,1022.68,3,5
231,329.249791562605,1014.52,3,7
232,466.331052118583,982.907,1,3
233,637.291185002266,1025.02,1,1
234,482.346549549056,952.319,5,9
235,484.361551733141,901.782,2,2
236,313.27420281171004,1028.51,2,2
237,510.3882270034871,989.95,9,9
238,674.50274303352,911.115,1,1
239,496.331084566559,906.462,1,1
240,496.327377683691,867.801,1,1
241,469.38850141578,1066.93,5,5
242,359.315543446704,1076.27,11,1
243,310.311997876879,1078.61,1,2
244,360.322049185217,1089.14,1,1
245,702.588449683837,1029.67,1,1
246,678.470604762701,964.126,1,1
247,242.282817993014,808.803,1,1
248,729.596096994177,1029.67,1,1
249,766.5547600863721,1029.67,1,1
250,766.580738626211,1090.31,1,2
251,701.578688272715,1028.51,1,1
252,818.611015695381,1028.51,2,1
253,718.5337710075951,901.782,1,1
254,813.576830794192,1058.78,1,1
255,774.569251770547,1015.69,2,3
256,822.6128165078288,1153.1,2,1
257,730.5294806633501,1146.12,1,1
258,811.569520245206,960.582,1,1
259,834.566107580188,1156.6,1,1
260,835.585462478669,953.501,1,1
261,406.251447461082,1167.02,8,7
262,781.5598966025481,918.172,2,1
263,788.598660793837,912.293,1,1
264,768.559452341111,1127.48,1,1
265,812.565527297014,1077.44,3,1
266,812.63806707241,1153.1,3,1
267,812.6407730533218,918.172,3,1
268,731.556720172014,944.056,4,1
269,836.5668792168581,866.6210000000002,5,1
270,733.5515362117392,1141.46,1,1
271,703.532410033266,993.468,1,1
272,809.604110086604,938.164,1,1
273,809.591395761307,1118.18,1,1
274,158.961363898036,1167.02,3,3
275,228.23043034590302,683.2719999999998,1,1
276,257.25866453172796,747.4739999999998,4,3
277,284.294913022445,804.186,1,1
278,369.348747547847,1016.85,1,1
279,732.5398700440642,935.806,1,1
280,732.563482659134,1126.32,2,1
281,732.557984759366,1105.43,2,1
282,758.588592159231,941.699,2,1
283,759.614111077725,926.385,3,1
284,760.587404913314,1155.43,2,1
285,761.5926593782118,1154.27,1,1
286,782.53642181263,1028.51,6,1
287,783.599516802867,1015.69,2,1
288,784.587075702762,980.557,1,1
289,784.580481030032,1005.18,1,1
290,784.610803753132,1090.31,1,1
291,785.6069932790158,931.093,1,1
292,787.599021240538,1058.78,3,1
293,806.586108344438,892.39,1,1
294,806.5750965579289,1149.61,1,1
295,806.574034800858,1142.62,1,1
296,806.583565033122,1044.81,1,1
297,807.5942980421339,1151.94,1,1
298,808.5704410566409,1139.13,1,1
299,808.584158919826,1029.67,2,1
